7302;174 FEET FROM SR 1300;COARSE ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-17 19:29:45+00:00;2013
7304;CARY;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-03-18 13:17:27+00:00;2013
7306;499 FEET FROM 2031 WALNUT ST;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-18 13:48:35+00:00;2013
7310;25 FEET FROM OLD APEX RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-18 15:03:00+00:00;2013
7313;200 FEET FROM 1313;OTHER *;DRY;DAYLIGHT;CLOUDY;2013-03-18 19:12:01+00:00;2013
7318;500 FEET FROM HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 23:10:39+00:00;2013
7321;50 FEET FROM PVA OF 530 NEW WAVERLY PL;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-19 17:32:22+00:00;2013
7326;10 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-19 17:33:07+00:00;2013
7331;207 FEET FROM PVA 7718 CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-20 23:29:18+00:00;2013
7334;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-20 23:21:44+00:00;2013
7337;25 FEET FROM 1205 NE MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-21 15:21:00+00:00;2013
7339;30 FEET FROM 6911 CARPENTER FIRE STATION RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-21 02:46:00+00:00;2013
7356;50 FEET FROM W CHATHAM ST;;;;CLOUDY;2013-03-23 02:18:00+00:00;2013
7366;100 FEET FROM US 64 OFF RAMP;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-22 01:02:53+00:00;2013
7367;20 FEET FROM 137 WESTON PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-22 21:42:54+00:00;2013
7369;100 FEET FROM PVA 100 KEMPWOOD DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-22 21:10:26+00:00;2013
7370;.2 MILES FROM BRIDGEGATE DR;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-21 04:35:00+00:00;2013
7374;440 FEET FROM 237 CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-24 03:15:00+00:00;2013
7377;120 FEET FROM HIGH HOUSE RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-25 12:22:32+00:00;2013
7382;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-25 12:47:00+00:00;2013
7384;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-25 15:28:00+00:00;2013
7392;0.02 MILES FROM WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-26 16:08:00+00:00;2013
7396;400 FEET FROM 226 CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-23 01:11:28+00:00;2013
7403;.5 MILES FROM MCCRIMMON PKWY;SMOOTH ASPHALT;DRY;DAWN;CLEAR;2013-03-27 12:08:21+00:00;2013
7404;.2 MILES FROM 6590 TRYON RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 16:33:00+00:00;2013
7407;.05 MILES FROM PVA (300 ASHEVILLE AVE);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-27 23:01:22+00:00;2013
7410;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-28 01:07:10+00:00;2013
7417;100 FEET FROM PVA (1100 BRISBANE WOODS WAY);SMOOTH ASPHALT;DRY;UNKNOWN;CLEAR;2013-03-29 01:07:04+00:00;2013
7437;CARY;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-29 02:59:00+00:00;2013
7443;80 FEET FROM 1000 INNOVATION AV;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLOUDY;2013-04-01 11:20:33+00:00;2013
7444;380 FEET FROM STABLEGATE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-25 17:51:06+00:00;2013
7445;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-04-01 15:12:00+00:00;2013
7447;100 FEET FROM 1299 KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-04-01 12:03:55+00:00;2013
